title,author,page_count,is_digital,genre,subject,grade_level,has_film_adaptation,has_review_questions,device_model,website,book_type
Girl who kicked the Hornets Nest,Steig Larsson,179,0,psychological thriller,NONE,NONE,0,0,NONE,NONE,1
The Very Hungry Caterpillar,Eric Carle,22,1,children,NONE,NONE,1,0,NONE,NONE,1
All Freezer with IQ-Touch Owner Guide,ElectroLux,23,1,NONE,NONE,NONE,0,0,Refrigerator-EI32AF80QS,electroluxappliances.com/,3
The Great Gatsby,F. Scott Fitzgerald,180,1,classic,NONE,NONE,1,0,NONE,NONE,1
Fahrenheit 451,Ray Bradbury,256,1,science fiction,NONE,NONE,1,0,NONE,NONE,1
Electric multifunction built-in oven 5 settings Installation and User 3,La Germania,80,0,NONE,NONE,NONE,0,0,Oven-F605LAGE,NONE,3
Blood of Elves,Andrzej Sapkowski,320,1,fantasy,NONE,NONE,0,0,NONE,NONE,1
Psychology: Contemporary Perspectives,Paul Okam,769,0,NONE,science,COLLEGE,0,1,NONE,NONE,2
Inspire Science: Earth,McGraw-Hill,792,1,NONE,science,JUNIOR HIGH,0,1,NONE,NONE,2
Window Type Air Conditioner Owner 3,LG Service,47,1,NONE,NONE,NONE,0,0,Air-LWGHD6500R,lgservice.com,3
Spectrum Math Workbook,Carson Dellosa,160,1,NONE,mathematics,ELEMENTARY,0,1,NONE,NONE,2
The Rebecca Notebook,Daphne du Maurier,416,0,mystery,NONE,NONE,1,0,NONE,NONE,1
The Complete Book of Spanish,Carson Dellosa,352,1,NONE,foreign language,ELEMENTARY,0,1,NONE,NONE,2
Flex Duo Chef Collection Double Wall Oven User 3,Samsung,68,1,NONE,NONE,NONE,0,0,Oven-NV51M9770DS,samsung.com,3
Of Mice and Men,John Steinbeck,107,0,classic,NONE,NONE,1,0,NONE,NONE,1
Pride and Prejudice,Jane Austen,408,1,classic,NONE,NONE,0,0,NONE,NONE,1
Middle Grades American History,Savvas Learning Co,657,1,NONE,history,JUNIOR HIGH,0,0,NONE,NONE,2
Cryptography Engineering Design Principles and Practical Applications,Bruce Schneier,384,1,NONE,computer science,COLLEGE,0,0,NONE,NONE,2
Discovering the World of Geography,Myrl Shireman ,338,1,NONE,science,JUNIOR HIGH,0,0,NONE,NONE,2
The Time Machine,H. G. Wells,84,0,science fiction,NONE,NONE,0,0,NONE,NONE,1
A Christmas Carol,Charles Dickens,196,1,classic,NONE,NONE,1,0,NONE,NONE,1
Complete Sherlock Holmes,Arthur Conan Doyle,176,0,mystery,NONE,NONE,1,0,NONE,NONE,1
Frankenstein,Mary Shelley,280,1,science fiction,NONE,NONE,1,0,NONE,NONE,1
The Name of the Rose,Umberto Eco,512,1,mystery,NONE,NONE,0,0,NONE,NONE,1
Digital Electronics: Principles and Applications,Roger Tokheim,572,1,NONE,computer science,HIGH SCHOOL,0,1,NONE,NONE,2
It,Stephen King,602,1,horror,NONE,NONE,1,0,NONE,NONE,1
33-inch Side-by-Side Owner’s 3,Amana,36,1,NONE,NONE,NONE,0,0,Refrigerator-ASI2175GRB,NONE,3
The Wife Between Us,Greer Hendricks,273,1,psychological thriller,NONE,NONE,1,0,NONE,NONE,1
It Ends with Us: A 1,Colleen Hoover,384,1,romance,NONE,NONE,0,0,NONE,NONE,1
RESTful API Design,Matthias Biehl,294,1,NONE,computer science,COLLEGE,0,0,NONE,NONE,2
The Hive,Gregg Olsen,480,1,psychological thriller,NONE,NONE,0,0,NONE,NONE,1
The War of the Worlds,H. G. Wells,287,0,science fiction,NONE,NONE,1,0,NONE,NONE,1
The Dark Tower: The Gunslinger,Stephen King,300,1,fantasy,NONE,NONE,1,0,NONE,NONE,1
Six of Crows,Leigh Bardugo,465,1,fantasy,NONE,NONE,0,0,NONE,NONE,1
Over-the-Range Microwave User 3,Kenmore,77,1,NONE,NONE,NONE,0,0,Oven-80339,kenmore.com/products,3
The Devil In The White City,Erik Larson,447,0,horror,NONE,NONE,0,0,NONE,NONE,1
The Snowy Day,Ezra Jack Keats,40,1,children,NONE,NONE,0,0,NONE,NONE,1
The Complete Fairy Tales of the Brothers Grimm,Jacob Grimm,800,0,NONE,reading,COLLEGE,0,0,NONE,NONE,2
The Woman in the Window,A. J. Finn,448,1,psychological thriller,NONE,NONE,1,0,NONE,NONE,1
Image Processing with MATLAB,Steve Eddins,241,0,NONE,computer science,COLLEGE,0,1,NONE,NONE,2
The Silent Patient,Alex Michaelides,336,1,mystery,NONE,NONE,0,0,NONE,NONE,1
The Cat in the Hat,Dr. Seuss,61,1,children,NONE,NONE,1,0,NONE,NONE,1
The Damnation Game,Clive Barker,448,1,horror,NONE,NONE,0,0,NONE,NONE,1
Portales 1,Open University Course Team ,785,1,NONE,foreign language,COLLEGE,0,1,NONE,NONE,2
The Wedding Date,Jasmine Guillory,352,0,romance,NONE,NONE,0,0,NONE,NONE,1
Common Core Connections Language Arts,Carson Dellosa,96,1,NONE,reading,ELEMENTARY,0,0,NONE,NONE,2
Dracula,Bram Stoker,418,1,horror,NONE,NONE,1,0,NONE,NONE,1
Whirlpool Refrigerator User Instructions,Whirlpool,28,1,NONE,NONE,NONE,0,0,Refrigerator-WRX986,whirlpool.com/,3
Ghost Story,Peter Straub,483,0,horror,NONE,NONE,0,0,NONE,NONE,1
Jane Eyre,Charlotte Brontë,478,0,classic,NONE,NONE,0,0,NONE,NONE,1
Girl with the Dragon Tattoo,Steig Larsson,179,1,psychological thriller,NONE,NONE,1,0,NONE,NONE,1
World Music: A Global Journey,Terry E. Miller,617,1,NONE,history,COLLEGE,0,1,NONE,NONE,2
Essential Trigonometry,Tim Hill,774,1,NONE,mathematics,HIGH SCHOOL,0,1,NONE,NONE,2
100-pint 3-Speed Dehumidifier Use and Care Guide,Hisense,24,0,NONE,NONE,NONE,0,0,Air-DH100KP1WG,hisense-usa.com/,3
World in the Making: A Global History,Bonnie G. Smith,688,1,NONE,history,HIGH SCHOOL,0,1,NONE,NONE,2
Chemistry: Matter & Change,Glencoe Science,1072,1,NONE,science,HIGH SCHOOL,0,1,NONE,NONE,2
The Witcher: The Last Wish,Andrzej Sapkowski,228,1,fantasy,NONE,NONE,1,0,NONE,NONE,1
Essential Foundations of Economics,Robin Bade,624,1,NONE,economics,COLLEGE,0,1,NONE,NONE,2
The Idiot,Fyodor Dostoevsky,197,1,classic,NONE,NONE,0,0,NONE,NONE,1
Book of Proof,Richard Hammack,365,1,NONE,mathematics,COLLEGE,0,1,NONE,NONE,2
Physical iScience Student Edition,McGraw-Hill,880,1,NONE,science,JUNIOR HIGH,0,1,NONE,NONE,2
Where the Wild Things Are,Maurice Sendak,40,1,children,NONE,NONE,1,0,NONE,NONE,1
The Shining,Stephen King,447,1,horror,NONE,NONE,1,0,NONE,NONE,1
Game of Thrones: A Feast for Crows,George R. R. Martin,753,0,fantasy,NONE,NONE,1,0,NONE,NONE,1
To Kill a Mockingbird,Harper Lee,281,0,classic,NONE,NONE,1,0,NONE,NONE,1
Fifty Shades of Grey,E. L. James,514,1,romance,NONE,NONE,1,0,NONE,NONE,1
The Name of the Wind,Patrick Rothfuss,662,0,fantasy,NONE,NONE,0,0,NONE,NONE,1
Holt Physics: Student Edition,Winston Holt,934,1,NONE,science,HIGH SCHOOL,0,1,NONE,NONE,2
42. Stainless Built in Owner 3,Dacor,42,0,NONE,NONE,NONE,0,0,Refrigerator-dyf42sbiwr,NONE,3
Moby Dick,Herman Melville,378,1,classic,NONE,NONE,1,0,NONE,NONE,1
Gone Girl,Gillian Flynn,432,0,mystery,NONE,NONE,1,0,NONE,NONE,1
The Exorcist,William Peter Blatty,340,1,horror,NONE,NONE,1,0,NONE,NONE,1
Uncle Sam and You (Complete Colelction),Charlene Notgrass,253,0,NONE,history,ELEMENTARY,0,0,NONE,NONE,2
Scholastic Success With Reading Comprehension,Scholastic Corporation,58,0,NONE,reading,ELEMENTARY,0,1,NONE,NONE,2
The Hunger Games,Suzanne Collins,374,1,science fiction,NONE,NONE,1,0,NONE,NONE,1
Structure and Randomness,Terence Tao,252,0,NONE,mathematics,COLLEGE,0,0,NONE,NONE,2
Girl who played with Fire,Steig Larsson,179,0,psychological thriller,NONE,NONE,0,0,NONE,NONE,1
Harry Potter and the Chamber of Secrets,J. K. Rowling,341,1,fantasy,NONE,NONE,1,0,NONE,NONE,1
Goodnight Moon,Margaret Wise Brown,32,1,children,NONE,NONE,0,0,NONE,NONE,1
Big Little Lies,Liane Moriarty,512,0,psychological thriller,NONE,NONE,1,0,NONE,NONE,1
Portable Air Conditioner Installation Instructions,Haier,32,1,NONE,NONE,NONE,0,0,Air-QPCA09YZMW,NONE,3
The Hobbit,J. R. R. Tolkien,304,0,fantasy,NONE,NONE,1,0,NONE,NONE,1
The Giving Tree,Shel Silverstein,64,1,children,NONE,NONE,0,0,NONE,NONE,1
Precalculus: Mathematics for Calculus,James Stewart,1088,1,NONE,mathematics,HIGH SCHOOL,0,1,NONE,NONE,2
Calculus: Early Transcendentals ,James Stewart,1368,1,NONE,mathematics,COLLEGE,0,1,NONE,NONE,2
McGraw-Hill Education Math Grade 5,McGraw-Hill,160,1,NONE,mathematics,ELEMENTARY,0,1,NONE,NONE,2
The Woman in White,Wilkie Collins,672,1,mystery,NONE,NONE,0,0,NONE,NONE,1
Biological Chemistry: Structures of Life,Karen Timberlake,936,1,NONE,science,COLLEGE,0,1,NONE,NONE,2
In Cold Blood,Truman Capote,343,1,mystery,NONE,NONE,0,0,NONE,NONE,1
The Forever War,Joe Haldeman,236,0,science fiction,NONE,NONE,0,0,NONE,NONE,1
Enders Game,Orson Scott Card,324,1,science fiction,NONE,NONE,1,0,NONE,NONE,1
Animal Farm,George Orwell,180,1,classic,NONE,NONE,1,0,NONE,NONE,1
Dune,Frank Herbert,412,1,fantasy,NONE,NONE,1,0,NONE,NONE,1
Home Before Dark,Riley Sager,197,1,psychological thriller,NONE,NONE,0,0,NONE,NONE,1
Biology: 8th Edition,Neil A. Campbell,1393,0,NONE,science,COLLEGE,0,1,NONE,NONE,2
Geometry,Ray C. Jurgensen,740,1,NONE,mathematics,HIGH SCHOOL,0,1,NONE,NONE,2
Stranger in a Strange Land,Robert A. Heinlein,408,1,science fiction,NONE,NONE,0,0,NONE,NONE,1
Operating Systems,Peter B. Galvin,912,1,NONE,computer science,COLLEGE,0,1,NONE,NONE,2
Bird Box,Josh Malerman,273,0,horror,NONE,NONE,1,0,NONE,NONE,1
Algebra 1,John Graham,716,1,NONE,mathematics,JUNIOR HIGH,0,1,NONE,NONE,2