name,type,level_rank,race,attribute,atk,def
Delg the Dark Monarch,Effect Monster,6,Spellcaster,DARK,2400,1000
Elemental HERO Burstinatrix,Normal Monster,3,Warrior,FIRE,1200,800
Rose Fairy,Effect Monster,3,Plant,WIND,600,1200
Steelswarm Genome,Effect Monster,2,Fiend,DARK,1000,0
Psychic Kappa,Normal Monster,2,Aqua,WATER,400,1000
Elemental HERO Gaia,Fusion Monster,6,Warrior,EARTH,2200,2600
Naturia Eggplant,Effect Monster,2,Plant,EARTH,1000,700
Little D (yes its real),Normal Monster,3,Dinosaur,EARTH,1100,700
Quickdraw Synchron,Tuner Monster,5,Machine,WIND,700,1400
Infernity Doom Dragon,Synchro Monster,8,Dragon,DARK,3000,2400
Ally of Justice Omni-Weapon,Effect Monster,5,Machine,DARK,2200,800
Windwitch - Ice Bell,Effect Monster,3,Spellcaster,WIND,1000,1000
Ally of Justice Catastor,Synchro Monster,5,Machine,DARK,2200,1200
Shiranui Spectralsword,Tuner Monster,2,Zombie,FIRE,800,0
Harpie Harpist,Effect Monster,4,Winged Beast,WIND,1700,600
Dino-Sewing,Effect Monster,4,Fiend,EARTH,0,0
Elder Entity Norden,Fusion Monster,4,Fairy,WATER,2000,2200
Thunder King the Lightningstrike Kaiju,Effect Monster,9,Thunder,LIGHT,3300,2100
Winged Kuriboh,Effect Monster,1,Fairy,LIGHT,300,200
Blackwing - Decay the Ill Wind,Tuner Monster,4,Winged Beast,DARK,1000,1000
Armed Samurai - Ben Kei,Effect Monster,4,Warrior,DARK,500,800
Worm Zero,Fusion Monster,10,Reptile,LIGHT,0,0
Super Quantal Mech Beast Magnaliger,XYZ Monster,5,Machine,FIRE,2600,2000
Performapal Partnaga,Pendulum Effect Monster,5,Reptile,EARTH,500,2100
Samurai Cavalry of Reptier,Pendulum Effect Monster,4,Dinosaur,EARTH,1800,1200
Water Spirit,Normal Tuner Monster,1,Aqua,WATER,400,1200
Sacred Phoenix of Nephthys,Effect Monster,8,Winged Beast,FIRE,2400,1600
Ninja Grandmaster Sasuke,Effect Monster,4,Warrior,LIGHT,1800,1000
Dark General Freed,Effect Monster,5,Warrior,DARK,2300,1700
Shaddoll Hedgehog,Flip Effect Monster,3,Spellcaster,DARK,800,200
Junk Synchron,Tuner Monster,3,Warrior,DARK,1300,500
Deep-Space Cruiser IX,Effect Monster,9,Machine,LIGHT,900,900
Crystal Beast Ruby Carbuncle,Effect Monster,3,Fairy,LIGHT,300,300
Petit Dragon,Normal Monster,2,Dragon,WIND,600,700
Cyber Angel Idaten,Ritual Effect Monster,6,Fairy,LIGHT,1600,2000
Kozmo Tincan,Effect Monster,1,Psychic,LIGHT,0,0
Bahamut Shark,XYZ Monster,4,Sea Serpent,WATER,2600,2100
Trident Dragion,Synchro Monster,10,Dragon,FIRE,3000,2800
Junk Collector,Effect Monster,5,Warrior,LIGHT,1000,2200
Evolsaur Cerato,Effect Monster,4,Dinosaur,FIRE,1900,1400
Satellarknight Betelgeuse,Effect Monster,4,Warrior,LIGHT,700,1900
Necro Linker,Effect Monster,2,Fiend,DARK,600,0
Hungry Burger,Ritual Monster,6,Warrior,DARK,2000,1850
Dodger Dragon,Effect Monster,4,Dragon,WIND,1900,1200
Aromage Rosemary,Effect Monster,4,Plant,WATER,1800,700
Griggle,Effect Monster,1,Plant,EARTH,350,300
Skelengel,Flip Effect Monster,2,Fairy,LIGHT,900,400
Corroding Shark,Normal Monster,3,Zombie,DARK,1100,700
Genex Ally Duradark,Effect Monster,4,Machine,DARK,1800,200
Naturia Leodrake,Synchro Monster,9,Beast,EARTH,3000,1800
Abaki,Effect Monster,4,Fiend,FIRE,1700,1100
Serpentine Princess,Effect Monster,4,Reptile,WATER,1400,2000
Soprano the Melodious Songstress,Effect Monster,4,Fairy,LIGHT,1400,1400
The Wicked Eraser,Effect Monster,10,Fiend,DARK,0,0
Maju Garzett,Effect Monster,7,Fiend,DARK,0,0
Zoodiac Ramram,Effect Monster,4,Beast-Warrior,EARTH,400,2000
Brotherhood of the Fire Fist - Rooster,Effect Monster,3,Beast-Warrior,FIRE,1500,100
B.E.S. Covered Core,Effect Monster,7,Machine,EARTH,2500,800
Sergeant Electro,Effect Monster,4,Machine,FIRE,1600,1300
Odd-Eyes Mirage Dragon,Pendulum Effect Monster,3,Dragon,DARK,1200,600
Panther Shark,Effect Monster,5,Fish,WATER,1100,2000
Evil HERO Lightning Golem,Fusion Monster,6,Fiend,LIGHT,2400,1500
Koa ki Meiru Wall,Effect Monster,4,Rock,EARTH,1900,1200
Celestial Wolf Lord Blue Sirius,Synchro Monster,6,Beast-Warrior,DARK,2400,1500
Night Assailant,Flip Effect Monster,3,Fiend,DARK,200,500
Violet Witch,Effect Monster,4,Spellcaster,DARK,1100,1200
Evolsaur Diplo,Effect Monster,4,Dinosaur,FIRE,1600,800
Key Mace 2,Normal Monster,4,Fiend,DARK,1050,1200
Dragonecro Nethersoul Dragon,Fusion Monster,8,Dragon,DARK,3000,0
Alien Hypno,Gemini Monster,4,Reptile,WATER,1600,700
Inzektor Ant,Effect Monster,3,Insect,DARK,200,600
Gishki Shadow,Effect Monster,4,Sea Serpent,WATER,1200,1000
Blaze Fenix the Burning Bombardment Bird,Fusion Monster,8,Pyro,FIRE,2800,2300
Scrap Archfiend,Synchro Monster,7,Fiend,EARTH,2700,1800
Umbral Horror Ghoul,Effect Monster,4,Fiend,DARK,1800,0
Fiend s Hand,Normal Monster,2,Zombie,DARK,600,600
Nobledragon Magician,Pendulum Tuner Effect Monster,3,Spellcaster,FIRE,700,1400
Ancient Lizard Warrior,Normal Monster,4,Reptile,EARTH,1400,1100
Double Coston,Effect Monster,4,Zombie,DARK,1700,1650
Psychic Snail,Effect Monster,4,Psychic,EARTH,1900,1200
Dark Magician Girl,Effect Monster,6,Spellcaster,DARK,2000,1700
Blazing Inpachi,Normal Monster,4,Pyro,FIRE,1850,0
Gungnir Dragon of the Ice Barrier,Synchro Monster,7,Dragon,WATER,2500,1700
Hiro s Shadow Scout,Flip Effect Monster,2,Fiend,DARK,650,500
Flame Manipulator,Normal Monster,3,Spellcaster,FIRE,900,1000
Dark Magician,Normal Monster,7,Spellcaster,DARK,2500,2100
Belial - Marquis of Darkness,Effect Monster,8,Fiend,DARK,2800,2400
Naturia Landoise,Synchro Monster,7,Rock,EARTH,2350,1600
Shark Stickers,Effect Monster,3,Fish,WATER,200,1000
Noisy Gnat,Effect Monster,2,Insect,EARTH,700,300
Slifer the Sky Dragon,Effect Monster,10,Divine-Beast,DIVINE,0,0
Fortune Lady Light,Effect Monster,1,Spellcaster,LIGHT,0,0
Invoked Caliga,Fusion Monster,4,Beast,DARK,1000,1800
Frontier Wiseman,Effect Monster,3,Spellcaster,EARTH,1600,800
Rude Kaiser,Normal Monster,5,Beast-Warrior,EARTH,1800,1600
Gentlemander,Effect Monster,4,Reptile,LIGHT,1200,1000
Ascension Sky Dragon,Synchro Monster,10,Dragon,LIGHT,0,3000
Fluffal Dog,Effect Monster,4,Fairy,EARTH,1700,1000
Right Arm of the Forbidden One,Normal Monster,1,Spellcaster,DARK,200,300
Amorphage Pride,Pendulum Effect Monster,4,Dragon,EARTH,1750,0
Empress Judge,Fusion Monster,6,Warrior,EARTH,2100,1700
Crystron Thystvern,Effect Monster,3,Machine,WATER,1500,1500
Gimmick Puppet Nightmare,Effect Monster,8,Machine,DARK,1000,2000
Beiige Vanguard of Dark World,Effect Monster,4,Fiend,DARK,1600,1300
Divine Dragon Apocralyph,Effect Monster,4,Dragon,DARK,1000,1500
Shiranui Smith,Effect Monster,4,Zombie,FIRE,1000,0
Dark Lucius LV6,Effect Monster,6,Fiend,EARTH,1700,600
Warrior of Atlantis,Effect Monster,4,Aqua,WATER,1900,1200
Patrician of Darkness,Effect Monster,5,Zombie,DARK,2000,1400
Gear Golem the Moving Fortress,Effect Monster,4,Machine,EARTH,800,2200
Ally of Justice Rudra,Effect Monster,5,Machine,DARK,1900,1200
Harpie Lady 2,Effect Monster,4,Winged Beast,WIND,1300,1400
Paleozoic Opabinia,XYZ Monster,2,Aqua,WATER,0,2400
Elemental HERO Neos Knight,Fusion Monster,7,Warrior,LIGHT,2500,1000
Amazoness Fighter,Effect Monster,4,Warrior,EARTH,1500,1300
Reshef the Dark Being,Ritual Effect Monster,8,Fiend,LIGHT,2500,1500
Superheavy Samurai Prepped Defense,Effect Monster,3,Machine,EARTH,100,2100
Obnoxious Celtic Guard,Effect Monster,4,Warrior,EARTH,1400,1200
Mermail Abysslinde,Effect Monster,3,Aqua,WATER,1500,1200
Elemental HERO Poison Rose,Effect Monster,6,Plant,EARTH,1900,2000
Battlin  Boxer Glassjaw,Effect Monster,4,Warrior,FIRE,2000,0
Throwstone Unit,Effect Monster,4,Warrior,EARTH,900,2000
Gorz the Emissary of Darkness,Effect Monster,7,Fiend,DARK,2700,2500
Super Quantum Blue Layer,Effect Monster,3,Psychic,WATER,1200,2000
Black Luster Soldier - Envoy of the Beginning,Effect Monster,8,Warrior,LIGHT,3000,2500
Sylvan Princessprite,XYZ Monster,1,Plant,LIGHT,1800,100
Naturia Strawberry,Effect Monster,4,Plant,EARTH,1600,1200
Galaxy-Eyes Full Armor Photon Dragon,XYZ Monster,8,Dragon,LIGHT,4000,3500
Vivid Knight,Effect Monster,4,Beast-Warrior,LIGHT,1700,800
Tainted Wisdom,Effect Monster,3,Fiend,DARK,1250,800
Yamadron,Normal Monster,5,Dragon,FIRE,1600,1800
Musto Oracle of Gusto,Effect Monster,4,Psychic,WIND,1800,900
Dragon Horn Hunter,Pendulum Normal Monster,6,Warrior,DARK,2300,1000
Flame Ghost,Fusion Monster,3,Zombie,DARK,1000,800
Monoceros,Effect Monster,3,Beast,LIGHT,1000,1000
Felgrand Dragon,Effect Monster,8,Dragon,LIGHT,2800,2800
Daybreaker,Effect Monster,4,Warrior,LIGHT,1700,0
The Thing That Hides in the Mud,Normal Monster,4,Rock,EARTH,1200,1300
Evigishki Levianima,Ritual Effect Monster,8,Aqua,WATER,2700,1500
Burning Skull Head,Effect Monster,3,Zombie,FIRE,1000,800
Yosenju Tsujik,Effect Monster,4,Beast-Warrior,WIND,1000,0
Red-Eyes Wyvern,Effect Monster,4,Dragon,WIND,1800,1600
Dark Magician,Normal Monster,7,Spellcaster,DARK,2500,2100
Dragon Zombie,Normal Monster,3,Zombie,DARK,1600,0
Timaeus the Knight of Destiny,Fusion Monster,10,Warrior,LIGHT,0,0
Doki Doki,Effect Monster,2,Rock,EARTH,500,500
Dark Magician Girl,Effect Monster,6,Spellcaster,DARK,2000,1700
Morphtronic Magnen,Effect Monster,3,Thunder,EARTH,800,800
Evoltile Westlo,Flip Effect Monster,3,Reptile,FIRE,700,1900
The Creator Incarnate,Effect Monster,4,Warrior,LIGHT,1600,1500
Traptrix Rafflesia,XYZ Monster,4,Plant,EARTH,300,2500
Igknight Templar,Pendulum Normal Monster,4,Warrior,FIRE,1700,1300
T.G. Striker,Tuner Monster,2,Warrior,EARTH,800,0
Scrap Chimera,Effect Monster,4,Beast,EARTH,1700,500
Machina Gearframe,Union Effect Monster,4,Machine,EARTH,1800,0
Wall of Illusion,Effect Monster,4,Fiend,DARK,1000,1850
Majiosheldon,Effect Monster,3,Warrior,WATER,800,2000
Bujin Mikazuchi,Effect Monster,4,Beast-Warrior,LIGHT,1900,1500
Evolsaur Pelta,Effect Monster,4,Dinosaur,FIRE,1100,2000
Wow Warrior,Normal Monster,4,Fish,WATER,1250,900
Tanngrisnir of the Nordic Beasts,Effect Monster,3,Beast,EARTH,1200,800
Dark Voltanis,Effect Monster,8,Fairy,DARK,2800,1400
PSY-Framegear Gamma,Tuner Monster,2,Psychic,LIGHT,1000,0
Tin Archduke,XYZ Monster,4,Machine,EARTH,2200,1200
Ally of Justice Cycle Reader,Tuner Monster,3,Machine,DARK,1000,1000
Snowman Creator,Effect Monster,4,Machine,WATER,1600,1000
Embryonic Beast,Normal Monster,2,Fiend,DARK,500,750
Digital Bug Corebage,XYZ Monster,5,Insect,LIGHT,2200,1800
Shiba-Warrior Taro,Tuner Monster,2,Beast-Warrior,EARTH,800,600
Chronomaly Crystal Skull,Effect Monster,3,Rock,LIGHT,900,600
Poison Draw Frog,Effect Monster,2,Aqua,WATER,100,100
T.G. Wonder Magician,Synchro Tuner Monster,5,Spellcaster,LIGHT,1900,0
Invader of Darkness,Effect Monster,8,Fiend,DARK,2900,2500
Fluffal Penguin,Effect Monster,4,Fairy,WATER,1600,1100
Angel of Zera,Synchro Monster,8,Fairy,LIGHT,2800,2300
Missing Force,Effect Monster,4,Warrior,DARK,1500,1000
The Winged Dragon of Ra,Effect Monster,10,Divine-Beast,DIVINE,0,0
Madolche Queen Tiaramisu,XYZ Monster,4,Fairy,EARTH,2200,2100
Renge Gatekeeper of Dark World,Normal Monster,4,Fiend,DARK,100,2100
Naturia Dragonfly,Effect Monster,4,Insect,EARTH,1200,400
Neo-Spacian Glow Moss,Effect Monster,3,Plant,LIGHT,300,900
Scrounging Goblin,Effect Monster,4,Fiend,EARTH,1000,2000
Triamid Dancer,Effect Monster,3,Rock,EARTH,600,1900
Ultimate Obedient Fiend,Effect Monster,10,Fiend,FIRE,3500,3000
Expressroid,Effect Monster,4,Machine,EARTH,400,1600
Winged Kuriboh,Effect Monster,1,Fairy,LIGHT,300,200
Meklord Astro Dragon Asterisk,Effect Monster,10,Machine,DARK,0,0
7 Colored Fish,Normal Monster,4,Fish,WATER,1800,800
Crimson Nova the Dark Cubic Lord,Effect Monster,10,Fiend,DARK,3000,0
Evoltile Gephyro,Effect Monster,1,Reptile,FIRE,200,400
Cybernetic Magician,Effect Monster,6,Spellcaster,LIGHT,2400,1000
Symphonic Warrior Basses,Tuner Monster,1,Machine,WIND,600,400
Megarock Dragon,Effect Monster,7,Rock,EARTH,0,0
Air Eater,Normal Monster,6,Fiend,WIND,2100,1600
Super Soldier Soul,Effect Monster,1,Warrior,EARTH,0,0
Spiritual Beast Cannahawk,Effect Monster,4,Thunder,WIND,1400,600
Water Element,Normal Monster,3,Aqua,WATER,900,700
Apprentice Illusion Magician,Effect Monster,6,Spellcaster,DARK,2000,1700
Doomdog Octhros,Effect Monster,3,Fiend,DARK,800,800
Steelswarm Sting,Effect Monster,4,Fiend,DARK,1850,0
Steelswarm Longhorn,Effect Monster,9,Fiend,DARK,3000,0
Mecha Phantom Beast Aerosguin,Effect Monster,3,Machine,WIND,1600,400
Cyber Twin Dragon,Fusion Monster,8,Machine,LIGHT,2800,2100
Queen s Bodyguard,Effect Monster,4,Warrior,EARTH,1700,1200
Dupe Frog,Effect Monster,2,Aqua,WATER,100,2000
Shiranui Samuraisaga,Synchro Monster,6,Zombie,FIRE,2500,0
Gem-Knight Master Diamond,Fusion Monster,9,Rock,EARTH,2900,2500
Featherizer,Effect Monster,2,Spellcaster,WIND,700,1100
Green Baboon Defender of the Forest,Effect Monster,7,Beast,EARTH,2600,1800
Krystal Dragon,Effect Monster,6,Dragon,LIGHT,2500,1000
Koa ki Meiru Ice,Effect Monster,4,Aqua,WATER,1900,1200
Archfiend Zombie-Skull,Synchro Monster,6,Zombie,DARK,2500,1200
Ronintoadin,Effect Monster,2,Aqua,WATER,100,2000
Soul Drain Dragon,Effect Monster,8,Dragon,LIGHT,4000,0
El Shaddoll Anoyatyllis,Fusion Monster,9,Fiend,WATER,2700,2000
Beta the Magnet Warrior,Normal Monster,4,Rock,EARTH,1700,1600
Colossal Fighter,Synchro Monster,8,Warrior,DARK,2800,1000
Venom Snake,Effect Monster,3,Reptile,EARTH,1200,600
Grave Protector,Effect Monster,4,Fiend,DARK,0,2000
Machina Cannon,Effect Monster,8,Machine,EARTH,0,2200
Vindikite R-Genex,Synchro Monster,8,Machine,WIND,2400,1000
Heavy Mech Support Armor,Union Effect Monster,3,Machine,LIGHT,500,500
Danipon,Effect Monster,2,Insect,EARTH,600,600
Gem-Knight Garnet,Normal Monster,4,Pyro,EARTH,1900,0
Masked HERO Dark Law,Fusion Monster,6,Warrior,DARK,2400,1800
Dragon Spirit of White,Effect Monster,8,Dragon,LIGHT,2500,2000
Blackwing - Damascus the Polar Night,Effect Monster,3,Winged Beast,DARK,1300,700
Dragon Dowser,Effect Monster,4,Wyrm,EARTH,1500,1500
Gyroid,Effect Monster,3,Machine,WIND,1000,1000
Arcanite Magician,Synchro Monster,7,Spellcaster,LIGHT,400,1800
Gorgonic Cerberus,Effect Monster,3,Rock,DARK,1300,300
Masked Beast Des Gardius,Effect Monster,8,Fiend,DARK,3300,2500
Yamatano Dragon Scroll,Normal Monster,2,Dragon,WIND,900,300
Worm Falco,Flip Effect Monster,2,Reptile,LIGHT,500,800
PSY-Frame Driver,Normal Monster,6,Psychic,LIGHT,2500,0
Mecha Phantom Beast Sabre Hawk,Effect Monster,4,Machine,WIND,2100,100
Cyberdark Horn,Effect Monster,4,Machine,DARK,800,800
Zure Knight of Dark World,Normal Monster,4,Fiend,DARK,1800,1500
Gale Dogra,Effect Monster,2,Insect,EARTH,650,600
Winged Egg of New Life,Normal Monster,5,Fairy,LIGHT,1400,1700
Dark Artist,Effect Monster,3,Fiend,DARK,600,1400
Frightfur Kraken,Fusion Monster,8,Fiend,WATER,2200,3000
Rapid-Fire Magician,Effect Monster,4,Spellcaster,DARK,1600,1200
Bujingi Peacock,Effect Monster,4,Winged Beast,LIGHT,1800,700
Sand Stone,Normal Monster,5,Rock,EARTH,1300,1600
Evolsaur Elias,Effect Monster,6,Dinosaur,FIRE,100,2400
Multiple Piece Golem,Fusion Monster,7,Rock,EARTH,2600,1300
Queen s Knight,Normal Monster,4,Warrior,LIGHT,1500,1600
Chiwen Light of the Yang Zing,Tuner Monster,1,Wyrm,LIGHT,0,0
Spirit of Flames,Effect Monster,4,Pyro,FIRE,1700,1000
Geo Genex,Synchro Monster,6,Machine,EARTH,1800,2800
Crystal Beast Topaz Tiger,Effect Monster,4,Beast,EARTH,1600,1000
Shadowpriestess of Ohm,Effect Monster,4,Spellcaster,DARK,1700,1600
Red Rising Dragon,Synchro Monster,6,Dragon,DARK,2100,1600
Ljosalf of the Nordic Alfar,Effect Monster,4,Spellcaster,LIGHT,1400,1200
Spy-C-Spy,Effect Monster,3,Warrior,FIRE,1200,1300
The Legendary Fisherman III,Effect Monster,7,Warrior,WATER,2500,2000
Sangan,Effect Monster,3,Fiend,DARK,1000,600
Change Slime,Normal Monster,1,Aqua,WATER,400,300
Moon Envoy,Normal Monster,4,Warrior,LIGHT,1100,1000
Queen of Autumn Leaves,Normal Monster,5,Plant,EARTH,1800,1500
Eyearmor,Normal Monster,2,Warrior,EARTH,600,500
Greenkappa,Flip Effect Monster,3,Warrior,DARK,650,900
Flower Cardian Zebra Grass with Moon,Effect Monster,8,Warrior,DARK,2000,2000
Rocket Warrior,Effect Monster,4,Warrior,LIGHT,1500,1300
Numen erat Testudo,Effect Monster,5,Aqua,WATER,1800,0
Chocolate Magician Girl,Effect Monster,4,Spellcaster,WATER,1600,1000
Dragunity Brandistock,Tuner Monster,1,Dragon,WIND,600,400
Justice Bringer,Effect Monster,4,Warrior,EARTH,1700,1000
Crystal Beast Emerald Tortoise,Effect Monster,3,Aqua,WATER,600,2000
Hand of Nephthys,Effect Monster,2,Spellcaster,WIND,600,600
Uminotaurus,Effect Monster,4,Aqua,WATER,1700,1000
Genesis Dragon,Effect Monster,6,Dragon,LIGHT,2200,1800
Performage Hat Tricker,Effect Monster,4,Spellcaster,EARTH,1100,1100
Assault Blackwing - Kunai the Drizzle,Effect Monster,5,Winged Beast,DARK,2100,1600
Mira the Star-Bearer,XYZ Monster,1,Warrior,LIGHT,1100,1000
Kinka-byo,Spirit Monster,1,Beast,DARK,400,200
Turbo Warrior,Synchro Monster,6,Warrior,WIND,2500,1500
Skull Red Bird,Normal Monster,4,Winged Beast,WIND,1550,1200
Mermail Abyssmegalo,Effect Monster,7,Sea Serpent,WATER,2400,1900
Phoenix Beast Gairuda,Effect Monster,6,Winged Beast,WIND,2500,1200
Shire Lightsworn Spirit,Effect Monster,3,Fairy,LIGHT,400,1400
Giant Flea,Normal Monster,4,Insect,EARTH,1500,1200
Flame Swordsman,Fusion Monster,5,Warrior,FIRE,1800,1600
Creation Resonator,Tuner Monster,3,Fiend,WIND,800,600
Noble Knight Bedwyr,Effect Monster,4,Warrior,LIGHT,1600,1500
Armed Sea Hunter,Effect Monster,4,Sea Serpent,WATER,1800,400
Guard Dog,Flip Effect Monster,3,Beast,EARTH,1500,500
Darklord Ixchel,Effect Monster,10,Fairy,DARK,2500,2900
Bee List Soldier,Effect Monster,1,Insect,WIND,500,400
Naturia Stinkbug,Tuner Monster,3,Insect,EARTH,200,500
Atlantean Attack Squad,Effect Monster,3,Sea Serpent,WATER,1400,0
Big Jaws,Effect Monster,3,Fish,WATER,1800,300
Garbage Ogre,Effect Monster,3,Fiend,DARK,800,1300
Leo the Keeper of the Sacred Tree,Synchro Monster,10,Beast,EARTH,3100,1900
Laval Cannon,Effect Monster,4,Warrior,FIRE,1600,900
Rinyan Lightsworn Rogue,Flip Effect Monster,2,Beast,LIGHT,100,100
Djinn Prognosticator of Rituals,Effect Monster,3,Fiend,DARK,400,300
Cyber Dragon,Effect Monster,5,Machine,LIGHT,2100,1600
Fabled Valkyrus,Synchro Monster,8,Fiend,LIGHT,2900,1700
Noble Knight Joan,Effect Monster,4,Warrior,LIGHT,1900,1300
Elemental HERO Dark Neos,Fusion Monster,7,Warrior,DARK,2500,2000
Gladiator Beast Lanista,Effect Monster,4,Winged Beast,WIND,1800,1200
Ritual Beast Ulti-Gaiapelio,Fusion Monster,10,Psychic,LIGHT,3200,2100
Superheavy Samurai Battleball,Tuner Monster,2,Machine,DARK,100,800
Gene-Warped Warwolf,Normal Monster,4,Beast-Warrior,EARTH,2000,100
Abyss Dweller,XYZ Monster,4,Sea Serpent,WATER,1700,1400
Megazowler,Normal Monster,6,Dinosaur,EARTH,1800,2000
Pitch-Black Warwolf,Effect Monster,4,Beast-Warrior,DARK,1600,600
Dystopia the Despondent,Effect Monster,12,Fiend,DARK,5000,5000
Schwarzschild Limit Dragon,Effect Monster,8,Dragon,DARK,2000,0
Lesser Fiend,Effect Monster,5,Fiend,DARK,2100,1000
Monsturtle,Normal Monster,3,Aqua,WATER,800,1000
Wicked Dragon with the Ersatz Head,Normal Monster,3,Dragon,WIND,900,900
Turtle Tiger,Normal Monster,4,Aqua,WATER,1000,1500
Volcanic Slicer,Effect Monster,4,Pyro,FIRE,1800,1200
Performapal Pendulum Sorcerer,Pendulum Effect Monster,4,Spellcaster,EARTH,1500,800
Ancient Gear Gadjiltron Dragon,Effect Monster,8,Machine,EARTH,3000,2000
Snowdust Dragon,Effect Monster,8,Dragon,WATER,2800,1800
Protector with Eyes of Blue,Tuner Monster,1,Spellcaster,LIGHT,800,1300
Grandsoil the Elemental Lord,Effect Monster,8,Beast-Warrior,EARTH,2800,2200
The Phantom Knights of Ragged Gloves,Effect Monster,3,Warrior,DARK,1000,500
Roulette Barrel,Effect Monster,4,Machine,LIGHT,1000,2000
Ojama Yellow,Normal Monster,2,Beast,LIGHT,0,1000
Lucius the Shadow Vassal,Effect Monster,1,Fiend,DARK,800,1000
Worm Prince,Effect Monster,6,Reptile,LIGHT,2200,400
Evil HERO Infernal Prodigy,Effect Monster,2,Fiend,DARK,300,600
Ghostrick Yuki-onna,Effect Monster,2,Spellcaster,DARK,1000,800
Tyhone 2,Normal Monster,6,Dragon,FIRE,1700,1900
Wisdom-Eye Magician,Pendulum Effect Monster,4,Spellcaster,LIGHT,1500,1500
Koa ki Meiru Valafar,Effect Monster,8,Fiend,FIRE,3000,2100
Laval Lancelord,Effect Monster,6,Warrior,FIRE,2100,200
Sephylon the Ultimate Timelord,Effect Monster,10,Fairy,LIGHT,4000,4000
