name,type,level_rank,race,attribute,atk,def
Vylon Pentachloro,Union Effect Monster,4,Machine,LIGHT,500,400
M-Warrior 1,Normal Monster,3,Warrior,EARTH,1000,500
Superheavy Samurai General Jade,Pendulum Effect Monster,8,Machine,EARTH,1800,2800
Octoberser,Normal Monster,5,Aqua,WATER,1600,1400
Chaosrider Gustaph,Effect Monster,4,Warrior,WIND,1400,1500
Ritual Beast Ulti-Pettlephin,Fusion Monster,6,Aqua,WIND,200,2800
Dragon Master Knight,Fusion Monster,12,Dragon,LIGHT,5000,5000
Dunames Dark Witch,Normal Monster,4,Fairy,LIGHT,1800,1050
Aquaactress Tetra,Effect Monster,1,Aqua,WATER,300,300
Yellow Duston,Effect Monster,1,Fiend,EARTH,0,1000
Drill Synchron,Tuner Monster,3,Machine,EARTH,800,300
Masked Chameleon,Tuner Monster,4,Reptile,EARTH,1600,1100
Dark Gray,Normal Monster,3,Beast,EARTH,800,900
Evoltile Lagosucho,Effect Monster,3,Reptile,FIRE,1200,500
Hade-Hane,Flip Effect Monster,5,Beast,EARTH,900,1000
Twin Photon Lizard,Fusion Monster,6,Dragon,LIGHT,2400,1000
Earthquake Giant,Effect Monster,5,Rock,EARTH,1600,2100
Mystery Hand,Normal Monster,2,Fiend,DARK,500,500
Blue-Eyes Shining Dragon,Effect Monster,10,Dragon,LIGHT,3000,2500
LaLa Li-Oon,Normal Monster,2,Thunder,WIND,600,600
Chu-Ske the Mouse Fighter,Normal Monster,3,Beast,EARTH,1200,0
CXyz Comics Hero Legend Arthur,XYZ Monster,5,Warrior,EARTH,3000,2400
Underworld Fighter Balmung,Synchro Monster,4,Warrior,DARK,2100,800
Raidraptor - Booster Strix,Effect Monster,4,Winged Beast,DARK,100,1700
Malacoda Netherlord of the Burning Abyss,Ritual Effect Monster,6,Fiend,DARK,2700,2200
Ghostrick Stein,Effect Monster,3,Zombie,DARK,1600,0
Morphtronic Boarden,Effect Monster,3,Machine,EARTH,500,1800
Spirit of the Pot of Greed,Effect Monster,1,Fairy,LIGHT,100,100
Flame Viper,Normal Monster,2,Pyro,EARTH,400,450
Snakeyashi,Normal Monster,4,Plant,EARTH,1000,1200
Great Phantom Thief,Effect Monster,3,Spellcaster,EARTH,1000,1000
Lord Poison,Effect Monster,4,Plant,WATER,1500,1000
Superheavy Samurai Big Waraji,Effect Monster,5,Machine,EARTH,800,1800
Madolche Anjelly,Effect Monster,4,Fairy,EARTH,1000,1000
Shreddder,Effect Monster,4,Machine,EARTH,1600,1000
Mist Bird Clausolas,Synchro Monster,3,Winged Beast,WIND,0,2300
The Masked Beast,Ritual Monster,8,Fiend,DARK,3200,1800
Performapal Fireflux,Pendulum Effect Monster,4,Insect,LIGHT,1200,1600
Bunilla,Normal Monster,1,Beast,EARTH,150,2050
Armaill,Normal Monster,3,Warrior,EARTH,700,1300
Felis Lightsworn Archer,Tuner Monster,4,Beast-Warrior,LIGHT,1100,2000
Dark Paladin,Fusion Monster,8,Spellcaster,DARK,2900,2400
Ancient Gear Beast,Effect Monster,6,Machine,EARTH,2000,2000
Skull Knight,Fusion Monster,7,Spellcaster,DARK,2650,2250
Peten the Dark Clown,Effect Monster,3,Spellcaster,DARK,500,1200
Gwenhwyfar Queen of Noble Arms,Effect Monster,2,Spellcaster,LIGHT,300,300
Elemental HERO Rampart Blaster,Fusion Monster,6,Warrior,EARTH,2000,2500
Air Armor Ninja,Effect Monster,4,Warrior,WIND,1400,1400
Hyozanryu,Normal Monster,7,Dragon,LIGHT,2100,2800
Rodenut,Effect Monster,1,Beast,EARTH,100,100
Malice Ascendant,Effect Monster,4,Zombie,DARK,700,1000
Blood Mefist,Synchro Monster,8,Fiend,DARK,2800,1300
Libic Malebranche of the Burning Abyss,Effect Monster,3,Fiend,DARK,1300,700
Rhaimundos of the Red Sword,Normal Monster,4,Warrior,EARTH,1200,1300
Cyber Dragon Infinity,XYZ Monster,6,Machine,LIGHT,2100,1600
Kuriboh,Effect Monster,1,Fiend,DARK,300,200
Slot Machine,Normal Monster,7,Machine,DARK,2000,2300
Mon Larvas,Normal Monster,4,Beast,EARTH,1300,1400
Flamvell Guard,Normal Tuner Monster,1,Dragon,FIRE,100,2000
Ghostrick Warwolf,Effect Monster,3,Zombie,DARK,1400,1500
Mystic Swordsman LV2,Effect Monster,2,Warrior,EARTH,900,0
Igknight Champion,Effect Monster,8,Warrior,FIRE,2800,2300
Iron Chain Dragon,Synchro Monster,6,Dragon,EARTH,2500,1300
Speedroid Double Yoyo,Effect Monster,4,Machine,WIND,1400,1400
Gameciel the Sea Turtle Kaiju,Effect Monster,8,Aqua,WATER,2200,3000
Rider of the Storm Winds,Tuner Monster,1,Dragon,LIGHT,500,200
Graydle Alligator,Effect Monster,3,Aqua,WATER,500,1500
Yazi Evil of the Yang Zing,Synchro Monster,7,Wyrm,DARK,2600,2100
Darklord Amdusc,Effect Monster,6,Fairy,DARK,1800,2800
Snapdragon,Effect Monster,2,Plant,EARTH,300,100
Wattsquirrel,Effect Monster,3,Thunder,LIGHT,700,100
Sorcerer of Dark Magic,Effect Monster,9,Spellcaster,DARK,3200,2800
Metalfoes Orichalc,Fusion Monster,8,Psychic,FIRE,2800,2200
Symphonic Warrior Guitaar,Pendulum Effect Monster,3,Machine,WIND,1500,100
Dark Lucius LV8,Effect Monster,8,Fiend,EARTH,2800,900
Soul-Absorbing Bone Tower,Effect Monster,3,Zombie,DARK,400,1500
Aegaion the Sea Castrum,XYZ Monster,8,Machine,WATER,0,3000
Ally of Justice Nullfier,Effect Monster,4,Machine,DARK,1600,1200
Assault Blackwing - Sayo the Rain Hider,Synchro Monster,2,Winged Beast,DARK,800,100
Heroic Champion - Gandiva,XYZ Monster,4,Warrior,EARTH,2100,1800
Magician s Robe,Effect Monster,2,Spellcaster,DARK,700,2000
Queen of Thorns,Synchro Monster,6,Plant,LIGHT,2200,1800
Axe Raider,Normal Monster,4,Warrior,EARTH,1700,1150
Dark Bug,Effect Monster,1,Insect,DARK,100,100
Superheavy Samurai Trumpeter,Tuner Monster,2,Machine,EARTH,300,600
Thunder Unicorn,Synchro Monster,5,Beast,LIGHT,2200,1800
Backup Warrior,Effect Monster,5,Warrior,EARTH,2100,0
Phantom Gryphon,Normal Monster,4,Winged Beast,WIND,2000,0
Fenghuang,Spirit Monster,6,Winged Beast,FIRE,2100,1800
Jellyfish,Normal Monster,4,Aqua,WATER,1200,1500
Balloon Lizard,Effect Monster,4,Reptile,EARTH,500,1900
Gishki Diviner,Effect Monster,3,Sea Serpent,WATER,1200,800
Performapal Bowhopper,Effect Monster,4,Insect,EARTH,1500,1000
XY-Dragon Cannon,Fusion Monster,6,Machine,LIGHT,2200,1900
Blackwing - Ghibli the Searing Wind,Effect Monster,3,Winged Beast,DARK,0,1600
Armed Protector Dragon,Effect Monster,8,Dragon,LIGHT,2000,2800
Super Vehicroid Jumbo Drill,Fusion Monster,8,Machine,EARTH,3000,2000
Battlin  Boxer Counterpunch,Effect Monster,3,Warrior,FIRE,0,1100
Soitsu,Normal Monster,3,Fairy,WIND,0,0
Naturia Beans,Effect Monster,2,Plant,EARTH,100,1200
Chaos Ancient Gear Giant,Fusion Monster,10,Machine,DARK,4500,3000
Explosive Magician,Synchro Monster,6,Spellcaster,LIGHT,2500,1800
Master of the Flaming Dragonswords,Effect Monster,4,Warrior,FIRE,1800,1200
Fabled Soulkius,Effect Monster,6,Fiend,LIGHT,2200,2100
Performance of Sword,Ritual Monster,6,Warrior,EARTH,1950,1850
Yormungarde,Normal Monster,3,Reptile,EARTH,1200,900
Igknight Paladin,Pendulum Normal Monster,4,Warrior,FIRE,1400,1900
Gravekeeper s Curse,Effect Monster,3,Spellcaster,DARK,800,800
Kozmo Dark Destroyer,Effect Monster,8,Machine,DARK,3000,1800
Meklord Astro Mekanikle,Effect Monster,12,Machine,LIGHT,4000,4000
Submersible Carrier Aero Shark,XYZ Monster,3,Fish,WATER,1900,1000
Dark Ruler Ha Des,Effect Monster,6,Fiend,DARK,2450,1600
Tongyo,Normal Monster,4,Fish,WATER,1350,800
Numeral Hunter,Effect Monster,4,Warrior,LIGHT,1600,1400
The Six Samurai - Nisashi,Effect Monster,4,Warrior,WIND,1400,700
Morphtronic Magnen Bar,Effect Monster,1,Thunder,EARTH,100,100
Leghul,Effect Monster,1,Insect,EARTH,300,350
Goddess of Whim,Effect Monster,3,Fairy,LIGHT,950,700
Gren Maju Da Eiza,Effect Monster,3,Fiend,FIRE,0,0
Evilswarm Kerykeion,Effect Monster,4,Spellcaster,DARK,1600,1550
Flame Tiger,Effect Monster,4,Beast,FIRE,1800,0
An Owl of Luck,Flip Effect Monster,2,Winged Beast,WIND,300,500
Geargiano,Effect Monster,3,Machine,EARTH,500,1000
Cyber Falcon,Normal Monster,4,Machine,WIND,1400,1200
Fishborg Doctor,Effect Monster,4,Fish,WATER,400,400
Mokey Mokey King,Fusion Monster,6,Fairy,LIGHT,300,100
Element Doom,Effect Monster,4,Fiend,DARK,1500,1200
D.D. Scout Plane,Effect Monster,2,Machine,DARK,800,1200
Inaba White Rabbit,Spirit Monster,3,Beast,EARTH,700,500
Blaster Dragon Ruler of Infernos,Effect Monster,7,Dragon,FIRE,2800,1800
Rescue Hamster,Pendulum Effect Monster,4,Beast,EARTH,300,100
Zefraniu Secret of the Yang Zing,Pendulum Effect Monster,6,Wyrm,EARTH,0,2600
Ceruli Guru of Dark World,Effect Monster,1,Fiend,DARK,100,300
Jutte Fighter,Tuner Monster,2,Warrior,EARTH,700,900
Robotic Knight,Normal Monster,4,Machine,FIRE,1600,1800
Ash Blossom & Joyous Spring,Tuner Monster,3,Zombie,FIRE,0,1800
Senju of the Thousand Hands,Effect Monster,4,Fairy,LIGHT,1400,1000
Edge Imp Chain,Effect Monster,4,Fiend,DARK,1200,1800
The Creator,Effect Monster,8,Thunder,LIGHT,2300,3000
Reeze Whirlwind of Gusto,Effect Monster,5,Psychic,WIND,1900,1400
Flower Cardian Zebra Grass,Effect Monster,8,Warrior,DARK,100,100
Dark Magician,Normal Monster,7,Spellcaster,DARK,2500,2100
Doom Virus Dragon,Fusion Monster,4,Dragon,DARK,1900,1500
Mecha Phantom Beast Megaraptor,Effect Monster,4,Machine,WIND,1900,1000
Abyss Actor - Superstar,Pendulum Effect Monster,7,Fiend,DARK,2500,1800
Time Maiden,Effect Monster,1,Fairy,LIGHT,0,0
Bladefly,Effect Monster,2,Insect,WIND,600,700
Morphtronic Smartfon,Tuner Monster,1,Machine,EARTH,100,100
Manticore of Darkness,Effect Monster,6,Beast-Warrior,FIRE,2300,1000
Risebell the Star Psycher,Effect Monster,4,Psychic,WIND,1500,1500
Pilica Descendant of Gusto,Effect Monster,3,Psychic,WIND,1000,1500
Hi-Speedroid Chanbara,Synchro Monster,5,Machine,WIND,2000,1000
Gishki Ariel,Flip Effect Monster,4,Spellcaster,WATER,1000,1800
Goe Goe the Gallant Ninja,Effect Monster,4,Warrior,WIND,1500,1000
Max Warrior,Effect Monster,4,Warrior,WIND,1800,800
Bujin Yamato,Effect Monster,4,Beast-Warrior,LIGHT,1800,200
Great Dezard,Effect Monster,6,Spellcaster,DARK,1900,2300
Silpheed,Effect Monster,4,Fairy,WIND,1700,700
Rose Archer,Effect Monster,3,Warrior,EARTH,1000,100
Royal Guard,Normal Monster,6,Machine,EARTH,1900,2200
Shuttleroid,Effect Monster,4,Machine,WIND,1000,1200
Bickuribox,Fusion Monster,7,Fiend,DARK,2300,2000
Dark Witch,Normal Monster,5,Fairy,LIGHT,1800,1700
Buster Blaster,Union Effect Monster,1,Machine,EARTH,0,0
Ritual Beast Tamer Wen,Effect Monster,3,Psychic,WIND,1500,1000
Acrobat Monkey,Normal Monster,3,Machine,EARTH,1000,1800
Ancient Pixie Dragon,Synchro Monster,7,Dragon,DARK,2100,3000
General Grunard of the Ice Barrier,Effect Monster,8,Warrior,WATER,2800,1000
Sentry Soldier of Stone,Effect Monster,3,Rock,EARTH,1300,2000
Brain Jacker,Flip Effect Monster,2,Fiend,DARK,200,900
Flame Ruler,Effect Monster,4,Pyro,FIRE,1500,1600
Spell Recycler,Effect Monster,1,Spellcaster,DARK,0,0
Performapal Gongato,Pendulum Effect Monster,1,Beast,EARTH,100,100
Guardian Eatos,Effect Monster,8,Fairy,WIND,2500,2000
Assault Beast,Effect Monster,4,Beast-Warrior,EARTH,1900,1200
Gandora-X the Dragon of Demolition,Effect Monster,8,Dragon,DARK,0,0
Mist Condor,Effect Monster,4,Winged Beast,WIND,1400,400
Djinn Demolisher of Rituals,Effect Monster,3,Fiend,DARK,1500,600
Fairy Cheer Girl,XYZ Monster,4,Fairy,LIGHT,1900,1500
Heroic Challenger - Night Watchman,Effect Monster,4,Warrior,EARTH,1200,300
Dragunity Arma Leyvaten,Effect Monster,8,Dragon,WIND,2600,1200
Alien Dog,Effect Monster,3,Reptile,LIGHT,1500,1000
U.A. Mighty Slugger,Effect Monster,5,Warrior,EARTH,2300,700
Genex Recycled,Tuner Monster,1,Machine,DARK,200,400
Pixie Knight,Effect Monster,2,Spellcaster,LIGHT,1300,200
Ryu Kokki,Effect Monster,6,Zombie,DARK,2400,2000
Archfiend Interceptor,Effect Monster,4,Fiend,DARK,1400,1600
Insect Knight,Normal Monster,4,Insect,EARTH,1900,1500
Lunalight Tiger,Pendulum Effect Monster,3,Beast-Warrior,LIGHT,1200,800
Dweller in the Depths,Effect Monster,3,Dragon,EARTH,1500,700
Battlin  Boxer Rib Gardna,Effect Monster,3,Warrior,FIRE,100,1400
Shadow Vampire,Effect Monster,5,Zombie,DARK,2000,0
Worm Opera,Flip Effect Monster,2,Reptile,LIGHT,400,800
Proto-Cyber Dragon,Effect Monster,3,Machine,LIGHT,1100,600
Raidraptor - Necro Vulture,Effect Monster,4,Winged Beast,DARK,1000,1600
Mimir of the Nordic Ascendant,Effect Monster,2,Fairy,DARK,600,0
Grappler,Normal Monster,4,Reptile,WATER,1300,1200
Garvas,Normal Monster,6,Beast,EARTH,2000,1700
Cyber Soldier of Darkworld,Normal Monster,4,Machine,DARK,1400,1200
Level Eater,Effect Monster,1,Insect,DARK,600,0
Magician of Faith,Flip Effect Monster,1,Spellcaster,LIGHT,300,400
Magical Abductor,Pendulum Effect Monster,4,Spellcaster,EARTH,1700,1400
Elemental HERO Flash,Effect Monster,4,Warrior,LIGHT,1100,1600
Construction Train Signal Red,Effect Monster,3,Machine,EARTH,1000,1300
Coach Captain Bearman,Effect Monster,8,Beast-Warrior,FIRE,2600,2700
Swarm of Locusts,Effect Monster,3,Insect,DARK,1000,500
Van Dalgyon the Dark Dragon Lord,Effect Monster,8,Dragon,DARK,2800,2500
Ancient Gear Knight,Gemini Monster,4,Machine,EARTH,1800,500
Wattfox,Tuner Monster,2,Thunder,LIGHT,800,100
Ghostrick Jackfrost,Effect Monster,1,Fiend,DARK,800,100
Red-Eyes B. Dragon,Normal Monster,7,Dragon,DARK,2400,2000
Seiyaryu,Normal Monster,7,Dragon,LIGHT,2500,2300
Elemental HERO Avian,Normal Monster,3,Warrior,WIND,1000,1000
Left Arm of the Forbidden One,Normal Monster,1,Spellcaster,DARK,200,300
Cursed Fig,Effect Monster,1,Plant,WATER,200,200
Vylon Ohm,Effect Monster,4,Fairy,LIGHT,1500,200
Knight of the Red Lotus,Effect Monster,6,Warrior,FIRE,2100,1800
Arcane Apprentice,Tuner Monster,2,Spellcaster,FIRE,1000,400
Totem Five,Effect Monster,3,Rock,FIRE,500,200
Herald of Pure Light,XYZ Monster,2,Fairy,LIGHT,600,1000
Pinecono,Effect Monster,1,Plant,EARTH,400,200
Blowback Dragon,Effect Monster,6,Machine,DARK,2300,1200
Arcana Force III - The Empress,Effect Monster,4,Fairy,LIGHT,1300,1300
Getsu Fuhma,Effect Monster,4,Warrior,DARK,1700,1200
Cannonball Spear Shellfish,Effect Monster,2,Aqua,WATER,1000,1000
Pyrorex the Elemental Lord,Effect Monster,8,Dinosaur,FIRE,2800,2200
Pendulum Machine,Normal Monster,6,Machine,DARK,1750,2000
Armityle the Chaos Phantom,Fusion Monster,12,Fiend,DARK,0,0
Phoenix Gearfried,Gemini Monster,8,Warrior,FIRE,2800,2200
Scary Moth,Effect Monster,6,Insect,WIND,1800,2300
Kurivolt,Effect Monster,1,Thunder,LIGHT,300,200
Mimimic,Effect Monster,3,Machine,EARTH,300,300
Enchanting Mermaid,Normal Monster,3,Fish,WATER,1200,900
Gearfried the Iron Knight,Effect Monster,4,Warrior,EARTH,1800,1600
Wynn the Wind Charmer,Flip Effect Monster,3,Spellcaster,WIND,500,1500
Lavalval Chain,XYZ Monster,4,Sea Serpent,FIRE,1800,1000
Twin Long Rods 2,Normal Monster,3,Aqua,WATER,850,700
Crystron Prasiortle,Effect Monster,2,Machine,WATER,500,2000
Tripwire Beast,Normal Monster,4,Thunder,EARTH,1200,1300
Gogogo Ghost,Effect Monster,4,Zombie,DARK,1900,0
Humpty Grumpty,Effect Monster,3,Zombie,DARK,1400,0
Turtle Bird,Normal Monster,6,Aqua,WATER,1900,1700
Acid Crawler,Normal Monster,3,Insect,EARTH,900,700
Hundred-Footed Horror,Effect Monster,7,Insect,DARK,2600,1300
Megasonic Eye,Normal Monster,5,Machine,DARK,1500,1800
Mei-Kou Master of Barriers,Effect Monster,4,Spellcaster,LIGHT,1700,600
Ocean Dragon Lord - Neo-Daedalus,Effect Monster,8,Sea Serpent,WATER,2900,1600
Crystal Beast Amber Mammoth,Effect Monster,4,Beast,EARTH,1700,1600
Interceptomato,Effect Monster,2,Plant,EARTH,800,800
T.G. Warwolf,Effect Monster,3,Beast-Warrior,DARK,1200,0
Big Whale,Effect Monster,9,Fish,WATER,1000,3000
Worm King,Effect Monster,8,Reptile,LIGHT,2700,1100
Nekroz of Sophia,Ritual Effect Monster,11,Spellcaster,LIGHT,3600,3400
The Winged Dragon of Ra,Effect Monster,10,Divine-Beast,DIVINE,0,0
Chaos-End Master,Tuner Monster,3,Warrior,LIGHT,1500,1000
Rocket Hermos Cannon,Fusion Monster,4,Warrior,LIGHT,1500,1300
Creeping Doom Manta,Effect Monster,3,Fish,WATER,1300,1200
Kuraz the Light Monarch,Effect Monster,6,Warrior,LIGHT,2400,1000
Bujingi Pavo,Effect Monster,4,Winged Beast,LIGHT,1700,800
Sleeping Lion,Normal Monster,4,Beast,EARTH,700,1700
Magical Scientist,Effect Monster,1,Spellcaster,DARK,300,300
Cure Mermaid,Effect Monster,4,Fish,WATER,1500,800
Starliege Paladynamo,XYZ Monster,4,Warrior,LIGHT,2000,1000
Chirubime Princess of Autumn Leaves,Effect Monster,8,Plant,EARTH,1800,2800
X-Saber Axel,Effect Monster,1,Beast-Warrior,EARTH,400,100
R-Genex Accelerator,Effect Monster,4,Machine,WIND,1500,1900
Arsenal Bug,Effect Monster,3,Insect,EARTH,2000,2000
Morphtronic Datatron,Effect Monster,3,Pyro,FIRE,1200,600
Vampire Genesis,Effect Monster,8,Zombie,DARK,3000,2100
Tellarknight Ptolemaeus,XYZ Monster,4,Warrior,LIGHT,550,2600
Oilman,Union Effect Monster,2,Machine,EARTH,400,400
Koa ki Meiru Speeder,Effect Monster,3,Machine,WIND,1200,2200
Silent Paladin,Effect Monster,4,Fairy,LIGHT,500,1500
Lunalight Wolf,Pendulum Effect Monster,6,Beast-Warrior,LIGHT,2000,1800
Trigon,Union Effect Monster,3,Dragon,FIRE,500,1700
Photon Thrasher,Effect Monster,4,Warrior,LIGHT,2100,0
Cyborg Doctor,Effect Monster,4,Spellcaster,EARTH,1500,1700
Evilswarm Bahamut,XYZ Monster,4,Dragon,DARK,2350,1350
Infernity Guardian,Effect Monster,4,Fiend,DARK,1200,1700
Blackwing - Gofu the Vague Shadow,Tuner Monster,5,Winged Beast,DARK,0,0
Artifact Vajra,Effect Monster,5,Fairy,LIGHT,1800,1900
Sunlight Unicorn,Effect Monster,4,Beast,LIGHT,1800,1000
Gagaga Magician,Effect Monster,4,Spellcaster,DARK,1500,1000
Valerifawn Mystical Beast of the Forest,Tuner Monster,2,Beast,EARTH,400,900
King of Yamimakai,Normal Monster,5,Fiend,DARK,2000,1530
D.3.S. Frog,Fusion Monster,8,Aqua,WATER,2500,2000
Mystical Sheep 1,Effect Monster,3,Beast,EARTH,1150,900
Destiny HERO - Defender,Effect Monster,4,Warrior,DARK,100,2700
Junk Defender,Effect Monster,3,Warrior,EARTH,500,1800
Crawling Dragon 2,Normal Monster,4,Dinosaur,EARTH,1600,1200
Defender the Magical Knight,Effect Monster,4,Spellcaster,LIGHT,1600,2000
Morphtronic Staplen,Effect Monster,4,Machine,EARTH,1400,1000
Tao the Chanter,Normal Monster,3,Spellcaster,EARTH,1200,900
Parrot Dragon,Normal Monster,5,Dragon,WIND,2000,1300
Evilswarm Azzathoth,Flip Effect Monster,4,Reptile,DARK,750,1950
Evilswarm Ketos,Effect Monster,4,Aqua,DARK,1750,1050
Lich Lord King of the Underworld,Effect Monster,6,Zombie,DARK,2400,1200
Winged Dragon Guardian of the Fortress 2,Normal Monster,4,Winged Beast,WIND,1200,1000
The Hunter with 7 Weapons,Effect Monster,3,Warrior,EARTH,1000,600
Hercules Beetle,Normal Monster,5,Insect,EARTH,1500,2000
Machina Sniper,Effect Monster,4,Machine,EARTH,1800,800
Gokibore,Normal Monster,4,Insect,EARTH,1200,1400
Medium of the Ice Barrier,Effect Monster,7,Spellcaster,WATER,2200,1600
Combo Fighter,Effect Monster,4,Warrior,WIND,1600,800
Alligator s Sword,Normal Monster,4,Beast,EARTH,1500,1200
Outstanding Dog Marron,Effect Monster,1,Beast,LIGHT,100,100
Blackwing - Kogarashi the Wanderer,Tuner Monster,6,Winged Beast,DARK,2300,1600
Destiny HERO - Dogma,Effect Monster,8,Warrior,DARK,3400,2400
Guardian Sphinx,Effect Monster,5,Rock,EARTH,1700,2400
Lucky Trinket,Normal Monster,2,Spellcaster,LIGHT,600,800
Scrap Recycler,Effect Monster,3,Machine,EARTH,900,1200
Red Dragon Archfiend,Synchro Monster,8,Dragon,DARK,3000,2000
Castle of Dark Illusions,Flip Effect Monster,4,Fiend,DARK,920,1930
Destiny HERO - Decider,Effect Monster,4,Warrior,DARK,1600,1000
Kuriphoton,Effect Monster,1,Fiend,LIGHT,300,200
Darklord Nasten,Effect Monster,7,Fairy,DARK,2600,2600
Pinch Hopper,Effect Monster,4,Insect,EARTH,1000,1200
Worm Illidan,Effect Monster,5,Reptile,LIGHT,2000,1800
Cocoon of Evolution,Effect Monster,3,Insect,EARTH,0,2000
Dododo Bot,Effect Monster,4,Machine,EARTH,1800,1900
Naturia Sunflower,Effect Monster,2,Plant,EARTH,500,0
Cyber Dragon Core,Effect Monster,2,Machine,LIGHT,400,1500
Destiny HERO - Diamond Dude,Effect Monster,4,Warrior,DARK,1400,1600
Vylon Stella,Tuner Monster,3,Fairy,LIGHT,1400,200
Testudo erat Numen,Effect Monster,1,Aqua,WATER,0,1800
Neo-Spacian Air Hummingbird,Effect Monster,3,Winged Beast,WIND,800,600
Evolsaur Darwino,Effect Monster,5,Dinosaur,FIRE,2200,700
Zoodiac Bunnyblast,Effect Monster,4,Beast-Warrior,EARTH,800,800
Total Defense Shogun,Effect Monster,6,Warrior,DARK,1550,2500
Tiras Keeper of Genesis,XYZ Monster,5,Fairy,LIGHT,2600,1700
Sylvan Peaskeeper,Effect Monster,1,Plant,WIND,400,100
Bujingi Boar,Effect Monster,4,Beast,LIGHT,1100,1900
Dragoness the Wicked Knight,Fusion Monster,3,Warrior,WIND,1200,900
Amazoness Tiger,Effect Monster,4,Beast,EARTH,1100,1500
Mecha Phantom Beast Dracossack,XYZ Monster,7,Machine,WIND,2600,2200
Evil Dragon Ananta,Effect Monster,8,Reptile,DARK,0,0
Judgment Dragon,Effect Monster,8,Dragon,LIGHT,3000,2600